morpheme,variant,nb,type,nature,transitivity,number,engMean,freMean,END
aaggisi,aaggiisi aaggiis aagiis aagisiu aagusi aaguusi aagissi auggusi aagisi aggiisi aaggisi aaggiisti,1,n,,,,August,août,.
aaktik,,1,n,,,,arctic,arctic,.
aatikul,,1,n,,,,article,article,.
gaasalii,,1,n,,,,gasoline,gazoline,.
gavama,,1,n,,,,government,gouvernement,.
gurait,,1,n,,,,grade,niveau,
Haakiq,,1,v,,i,,to play hockey,jouer au hockey,.
Haammalat,,1,n,,,,hamlet,hameau,.
Hakiq,,1,v,,i,,to play hockey,jouer au hockey,.
Hamlat,,1,n,,,,hamlet,hameau,.
iipuru,iipurul iipurili iipuriili ipurul iipiri aipuru aipurul aippurul aippurul,1,n,,,,April,avril,.
jaannuari,jaanuari jannuari januari,1,n,,,,January,janvier,
jastis,,1,n,,,,Justice (as in Mr. Justice),"Juge (mot anglais = Justice, comme dans M. le juge)",.
julai,,1,n,,,,July,juillet,.
juuni,juni,1,n,,,,June,juin,.
liita,,1,v,,,,liter,litre,
kaanturaak,,1,v,,t,,to contract,contracter,.
kamisina,kamisana,1,n,,,,commissioner,commissionnaire,.
kanata,,2,n,,,,Canada,Canada,.
kilumiita,kilaamatu kilaamita kilaamitu kilaamata,1,n,,,,kilometer,kilomètre,
kuapuriisat,kuapurisat kuapariisat,1,n,,,,corporation,corporation,
maatsi,maajji,1,n,,,,March,mars,.
mai,,1,n,,,,May,mai,.
maili,,1,n,,,,mile,mille (unité de mesure),
mataam,,1,n,,,,Madame,madame,.
miliat,milliat milijat,1,n,,,,million,million,.
minista,ministu minisita,1,n,,,,minister,ministre,.
minit,minitsi mini minat mina,1,n,,,,minute,minute,
mis,,1,n,,,,miss,mademoiselle,.
misis,misisis misisi,1,n,,,,misses,madame,
mista,mistu,1,n,,,,mister,monsieur,.
niu,nu nuu,2,n,place,,,New,Nouveau/Nouvelle,.
nuvipiri,nuuvimva nuuviipiri nuuviippiri nuviippiri nuvippiri nuuviippiirii nuuvimpiri,1,n,,,,November,novembre,.
pai,pii vai,1,n,place,,,Bay,Baie,.
paut,,2,n,,,,pound,livre (unité de poids),
paliisi,,1,n,,,,police,police,.
pusat,puusat pusa puusa parsat,1,n,,,,percent,pourcent,
puriimmia,,1,n,,,,premier,"""premier""  (mot anglais)",.
riva,rivar rivu,1,n,place,,,River,Rivière,.
sat,sa,1,n,,,,cent,cent (monnaie),
sakat,saka,1,n,,,,second,seconde (unité de temps),
saut,,1,n,place,,,South,Sud,.
sigaliaq,siggaliaq sigaliq,1,n,,,,cigarette,cigarette,.
siggaaq,,1,n,,,,cigar,cigare,.
sitipiri,sitippiri sitippa siitivva siitippa siptamva siitiivva siitiippiri,1,n,,,,September,septembre,.
sitiivi,,1,n,,,,CTV,CTV (chaîne de télévision),.
taala,taalaq tala,1,n,,,,dollar,dollar,.
tat,,1,n,,,,ton,tonne (unité de poids),
tausat,tausa,1,n,,,,thousand,"""thousand"" (mot anglais) = millier",.
talaviisa,talavisa talaaviisa taalaviisa tiivii,1,n,,,,television,télévision,
tisipiri,titisippiri tisiippiri tisiivviri tiisiippiri tiisamva simpiri tiisimpiri,1,n,,,,December,décembre,.
uivii,uivi,1,n,,,,a french-speaking person,une personne de langue française,.
utupiri,uktupiri uktuupiri uktuuva uktuuvva aktuuva aktuuvva aktuva,1,n,,,,October,octobre,.
vait,,1,n,place,,,White,Blanc/Blanche,.
vivvuari,vivuari viivvuari viivuari vippuari vipuari,1,n,,,,February,février,.
